 node |       cost       
------+------------------
  159 |    657.896484375
 2268 | 657.226318359375
 1139 | 656.786499023438
 2478 |     657.99609375
 4464 | 658.126892089844
 1296 | 615.927124023438
 7034 | 614.984069824219
 5522 | 626.562927246094
 1851 | 682.321166992188
 6251 | 971.433898925781
 3087 |     658.12890625
 3894 | 650.791870117188
 2081 | 686.874816894531
 2082 | 619.483764648438
 2998 | 651.930725097656
 2917 | 460.315612792969
 2833 | 212.616424560547
 2834 | 1104.30895996094
 5308 | 771.859313964844
 7269 |     725.92578125
 4871 | 1292.04602050781
 7338 | 1529.55395507812
 6328 | 2562.16479492188
 7797 |  1168.9228515625
 7794 | 246.914199829102
 7795 | 1072.88635253906
 3467 | 412.400848388672
 4607 | 278.111083984375
 1915 | 261.809265136719
 3388 | 412.886505126953
 1712 | 410.709564208984
    5 | 409.150665283203
 1092 | 409.894836425781
 1093 | 410.829925537109
 2177 | 411.596221923828
 2079 | 408.307342529297
 4113 | 390.226348876953
 6036 | 462.464172363281
 7109 | 674.020080566406
 1397 | 658.117797851562
 4010 | 329.893341064453
 1626 | 658.614807128906
 4711 | 659.059020996094
  527 | 657.183898925781
  218 |                0
  159 |    657.896484375
 2268 | 657.226318359375
 1139 | 656.786499023438
 2478 |     657.99609375
 4464 | 658.126892089844
 1296 | 615.927124023438
 7034 | 614.984069824219
 5522 | 626.562927246094
 1851 | 682.321166992188
 6251 | 971.433898925781
 3087 |     658.12890625
 3894 | 650.791870117188
 2081 | 686.874816894531
 2082 | 619.483764648438
 2998 | 651.930725097656
 2917 | 460.315612792969
 2833 | 212.616424560547
 2834 | 1104.30895996094
 5308 | 771.859313964844
 7269 |     725.92578125
 4871 | 1292.04602050781
 7338 | 1529.55395507812
 6328 | 2562.16479492188
 7797 |  1168.9228515625
 7794 | 246.914199829102
 7795 | 1072.88635253906
 3467 | 412.400848388672
 4607 | 278.111083984375
 1915 | 261.809265136719
 3388 | 412.886505126953
 1712 | 410.709564208984
    5 | 409.150665283203
 1092 | 412.813323974609
 2178 | 413.482360839844
 6513 | 410.359466552734
 2079 | 408.307342529297
 4113 | 390.226348876953
 6036 | 462.464172363281
 7109 | 674.020080566406
 1397 | 658.117797851562
 4010 | 329.893341064453
 1626 | 658.614807128906
 4711 | 659.059020996094
  527 | 657.183898925781
  218 |                0
(90 rows)

